ID;Gemeente_Code;Gemeente_Naam;Provincie_Code;Provincie_Naam;Bevolking_Aantallen;zwaartepunt_x;zwaartepunt_y;oppervlakte_m2
527;GM0971;Stein (L.);PV31;Limburg;24653;181445.13187788916;331101.9321118349;22799787.74594254
528;GM0302;Nunspeet;PV25;Gelderland;29393;182195.31994414757;483555.96123061766;129533095.10903955
530;GM0340;Rhenen;PV26;Utrecht;20392;166907.81389147477;443610.15550523513;43756513.13717747
535;GM0232;Epe;PV25;Gelderland;33469;193705.78457041027;482103.8312413944;157372017.72244948
536;GM0388;Enkhuizen;PV27;Noord-Holland;18847;149339.91122425557;529765.6442160906;116246507.12269983
538;GM0153;Enschede;PV23;Overijssel;162317;256851.85467544684;471349.5644759393;142724067.02080074
540;GM0189;Wierden;PV23;Overijssel;25342;234959.32493142117;484705.86021921464;95388421.26893243
550;GM0233;Ermelo;PV25;Gelderland;28131;174033.3949162182;477842.8565474248;87326275.69541255
551;GM1948;Meierijstad;PV30;Noord-Brabant;84711;163259.7746174549;400376.86942400027;185519525.12277934
558;GM0777;Etten-Leur;PV30;Noord-Brabant;45457;103551.09042511447;399083.2964249824;55921294.17346644
570;GM0928;Kerkrade;PV31;Limburg;45490;201724.9469829986;320436.082591384;22152895.664607
581;GM1709;Moerdijk;PV30;Noord-Brabant;38273;96071.5418838371;408540.1114192832;184025321.96184385
621;GM0779;Geertruidenberg;PV30;Noord-Brabant;21944;120044.0364625248;412162.62658646674;29639808.619308002
631;GM0638;Zoeterwoude;PV28;Zuid-Holland;10141;95178.50098612007;458868.18806672696;21958026.184006963
632;GM1771;Geldrop-Mierlo;PV30;Noord-Brabant;40754;168933.27934009198;382481.9764912309;31387314.558222994
641;GM1896;Zwartewaterland;PV23;Overijssel;23507;200830.81308733384;513014.50780875346;87856892.66084695
642;GM0907;Gennep;PV31;Limburg;17785;196472.3548353917;412449.39745259023;50423074.74554808
653;GM0784;Gilze en Rijen;PV30;Noord-Brabant;28531;122502.97602772278;396842.05312266544;65664671.54790964
662;GM0664;Goes;PV29;Zeeland;40120;47918.36753266915;393145.1713694729;101915194.19238038
664;GM0785;Goirle;PV30;Noord-Brabant;24468;130417.0432873523;391533.8202972824;43378680.14726508
670;GM0513;Gouda;PV28;Zuid-Holland;76514;108250.85146039756;447657.1841386849;18113363.35212743
673;GM1963;Hoeksche Waard;PV28;Zuid-Holland;90747;90214.58855037588;419960.1664762275;323685382.67894095
675;GM0321;Houten;PV26;Utrecht;50945;140890.0501081296;446211.235070989;58985522.21897005
677;GM0166;Kampen;PV23;Overijssel;56547;191356.86374752576;507995.11979584227;161788918.7730254
685;GM0518;'s-Gravenhage;PV28;Zuid-Holland;568945;79981.84610742003;454319.60247986246;98119560.7173771
688;GM1783;Westland;PV28;Zuid-Holland;116916;74235.90012252796;446467.1137573552;90736415.06676197
697;GM1586;Oost Gelre;PV25;Gelderland;30048;236598.3993003594;447497.96966325695;110435645.6462667
715;GM0158;Haaksbergen;PV23;Overijssel;24225;248658.62645888093;463920.47083341354;105499578.15193498
718;GM0824;Oisterwijk;PV30;Noord-Brabant;33108;142329.97761400003;397073.8974062976;81461871.03657457
721;GM0392;Haarlem;PV27;Noord-Holland;168743;104640.71502260894;488651.103271737;32091235.394715495
