ID;Gemeente_Code;Gemeente_Naam;Provincie_Code;Provincie_Naam;Bevolking_Aantallen
49;GM1723;Alphen-Chaam;PV30;Noord-Brabant;10539
51;GM1699;Noordenveld;PV22;Drenthe;31751
52;GM0037;Stadskanaal;PV20;Groningen;32038
53;GM1690;De Wolden;PV22;Drenthe;24672
54;GM0118;Hoogeveen;PV22;Drenthe;56906
56;GM1735;Hof van Twente;PV23;Overijssel;35660
57;GM1961;Vijfheerenlanden;PV26;Utrecht;62554
58;GM1680;Aa en Hunze;PV22;Drenthe;25935
59;GM1507;Horst aan de Maas;PV31;Limburg;44242
60;GM1581;Utrechtse Heuvelrug;PV26;Utrecht;50945
61;GM0307;Amersfoort;PV26;Utrecht;163298
62;GM1931;Krimpenerwaard;PV28;Zuid-Holland;57798
65;GM0362;Amstelveen;PV27;Noord-Holland;95822
66;GM1954;Beekdaelen;PV31;Limburg;35824
67;GM0363;Amsterdam;PV27;Noord-Holland;934526
68;GM0437;Ouder-Amstel;PV27;Noord-Holland;14532
71;GM1734;Overbetuwe;PV25;Gelderland;48945
74;GM0160;Hardenberg;PV23;Overijssel;63415
77;GM1705;Lingewaard;PV25;Gelderland;47684
79;GM1696;Wijdemeren;PV27;Noord-Holland;24670
81;GM1911;Hollands Kroon;PV27;Noord-Holland;49982
84;GM1701;Westerveld;PV22;Drenthe;19983
86;GM1950;Westerwolde;PV20;Groningen;27421
87;GM0200;Apeldoorn;PV25;Gelderland;168551
89;GM0085;Ooststellingwerf;PV21;Fryslân;25925
91;GM1979;Eemsdelta;PV20;Groningen;44795
92;GM0983;Venlo;PV31;Limburg;103984
93;GM1978;Molenlanden;PV28;Zuid-Holland;45363
94;GM0687;Middelburg (Z.);PV29;Zeeland;50152
95;GM0202;Arnhem;PV25;Gelderland;169364
96;GM0175;Ommen;PV23;Overijssel;19249
98;GM0214;Buren;PV25;Gelderland;27978
101;GM0479;Zaanstad;PV27;Noord-Holland;162828
102;GM0743;Asten;PV30;Noord-Brabant;17385
104;GM0059;Achtkarspelen;PV21;Fryslân;28200
105;GM0355;Zeist;PV26;Utrecht;66671
106;GM1598;Koggenland;PV27;Noord-Holland;23821
107;GM0715;Terneuzen;PV29;Zeeland;55653
108;GM1955;Montferland;PV25;Gelderland;36996
109;GM0093;Terschelling;PV21;Fryslân;4923
111;GM1876;Bronckhorst;PV25;Gelderland;36012
114;GM0654;Borsele;PV29;Zeeland;23125
115;GM0744;Baarle-Nassau;PV30;Noord-Brabant;7205
116;GM1894;Peel en Maas;PV31;Limburg;45881
117;GM1708;Steenwijkerland;PV23;Overijssel;45716
118;GM0308;Baarn;PV26;Utrecht;25184
122;GM1895;Oldambt;PV20;Groningen;39586
124;GM1640;Leudal;PV31;Limburg;36108
126;GM1652;Gemert-Bakel;PV30;Noord-Brabant;31541
128;GM0086;Opsterland;PV21;Fryslân;30012
129;GM0296;Wijchen;PV25;Gelderland;41836
130;GM1731;Midden-Drenthe;PV22;Drenthe;34021
135;GM0060;Ameland;PV21;Fryslân;3800
136;GM0965;Simpelveld;PV31;Limburg;10270
137;GM1903;Eijsden-Margraten;PV31;Limburg;26181
138;GM0171;Noordoostpolder;PV24;Flevoland;50788
141;GM0489;Barendrecht;PV28;Zuid-Holland;48550
142;GM0114;Emmen;PV22;Drenthe;109678
147;GM0150;Deventer;PV23;Overijssel;104301
148;GM0758;Breda;PV30;Noord-Brabant;188779
152;GM1641;Maasgouw;PV31;Limburg;24502
153;GM1945;Berg en Dal;PV25;Gelderland;35558
155;GM0888;Beek (L.);PV31;Limburg;16251
159;GM1982;Land van Cuijk;PV30;Noord-Brabant;92817
164;GM0889;Beesel;PV31;Limburg;13524
165;GM0385;Edam-Volendam;PV27;Noord-Holland;37140
171;GM1859;Berkelland;PV25;Gelderland;43917
177;GM0228;Ede;PV25;Gelderland;124214
180;GM0331;Lopik;PV26;Utrecht;14800
183;GM0473;Zandvoort;PV27;Noord-Holland;17374
185;GM0994;Valkenburg aan de Geul;PV31;Limburg;16464
187;GM1724;Bergeijk;PV30;Noord-Brabant;19263
188;GM0373;Bergen (NH.);PV27;Noord-Holland;29722
191;GM0748;Bergen op Zoom;PV30;Noord-Brabant;70194
194;GM0828;Oss;PV30;Noord-Brabant;95239
195;GM1621;Lansingerland;PV28;Zuid-Holland;66064
198;GM0855;Tilburg;PV30;Noord-Brabant;230357
201;GM0845;Sint-Michielsgestel;PV30;Noord-Brabant;30176
204;GM0753;Best;PV30;Noord-Brabant;31652
206;GM0168;Losser;PV23;Overijssel;23469
207;GM0209;Beuningen;PV25;Gelderland;26749
209;GM1729;Gulpen-Wittem;PV31;Limburg;14017
210;GM0375;Beverwijk;PV27;Noord-Holland;43040
211;GM0303;Dronten;PV24;Flevoland;44856
215;GM0798;Hilvarenbeek;PV30;Noord-Brabant;16149
218;GM0310;De Bilt;PV26;Utrecht;43792
223;GM1728;Bladel;PV30;Noord-Brabant;21006
225;GM0376;Blaricum;PV27;Noord-Holland;12947
229;GM0098;Weststellingwerf;PV21;Fryslân;26596
235;GM0984;Venray;PV31;Limburg;44807
237;GM0405;Hoorn;PV27;Noord-Holland;76036
242;GM1901;Bodegraven-Reeuwijk;PV28;Zuid-Holland;37209
243;GM0755;Boekel;PV30;Noord-Brabant;11465
246;GM0014;Groningen;PV20;Groningen;244441
254;GM0090;Smallingerland;PV21;Fryslân;57084
257;GM1681;Borger-Odoorn;PV22;Drenthe;26049
258;GM0047;Veendam;PV20;Groningen;27687
259;GM1952;Midden-Groningen;PV20;Groningen;61387
261;GM1883;Sittard-Geleen;PV31;Limburg;92491
262;GM0147;Borne;PV23;Overijssel;24741
268;GM1655;Halderberge;PV30;Noord-Brabant;31347
269;GM0599;Rotterdam;PV28;Zuid-Holland;672960
271;GM0532;Stede Broec;PV27;Noord-Holland;22253
275;GM0757;Boxtel;PV30;Noord-Brabant;34241
282;GM1509;Oude IJsselstreek;PV25;Gelderland;39499
286;GM1904;Stichtse Vecht;PV26;Utrecht;66130
288;GM1992;Voorne aan Zee;PV28;Zuid-Holland;74527
293;GM0852;Waterland;PV27;Noord-Holland;17556
294;GM1980;Dijk en Waard;PV27;Noord-Holland;90747
296;GM0119;Meppel;PV22;Drenthe;36271
298;GM0177;Raalte;PV23;Overijssel;38623
299;GM1891;Dantumadiel;PV21;Fryslân;19137
303;GM1676;Schouwen-Duiveland;PV29;Zeeland;34412
307;GM1700;Twenterand;PV23;Overijssel;34113
309;GM0213;Brummen;PV25;Gelderland;21394
310;GM0899;Brunssum;PV31;Limburg;27534
313;GM1706;Cranendonck;PV30;Noord-Brabant;21665
322;GM0938;Meerssen;PV31;Limburg;18460
323;GM1730;Tynaarlo;PV22;Drenthe;35011
324;GM0312;Bunnik;PV26;Utrecht;16279
325;GM0313;Bunschoten;PV26;Utrecht;22684
329;GM0448;Texel;PV27;Noord-Holland;13846
330;GM0441;Schagen;PV27;Noord-Holland;48378
336;GM1942;Gooise Meren;PV27;Noord-Holland;61003
342;GM0502;Capelle aan den IJssel;PV28;Zuid-Holland;68624
348;GM0677;Hulst;PV29;Zeeland;27378
351;GM1695;Noord-Beveland;PV29;Zeeland;8046
355;GM0352;Wijk bij Duurstede;PV26;Utrecht;23831
357;GM0865;Vught;PV30;Noord-Brabant;33010
360;GM0216;Culemborg;PV25;Gelderland;30281
361;GM0163;Hellendoorn;PV23;Overijssel;36213
363;GM0512;Gorinchem;PV28;Zuid-Holland;38842
367;GM0148;Dalfsen;PV23;Overijssel;30047
379;GM1926;Pijnacker-Nootdorp;PV28;Zuid-Holland;58126
381;GM0503;Delft;PV28;Zuid-Holland;110173
386;GM0762;Deurne;PV30;Noord-Brabant;33387
387;GM0173;Oldenzaal;PV23;Overijssel;32021
394;GM0384;Diemen;PV27;Noord-Holland;33228
397;GM0275;Rheden;PV25;Gelderland;43782
403;GM0851;Steenbergen;PV30;Noord-Brabant;24567
408;GM1740;Neder-Betuwe;PV25;Gelderland;25781
410;GM0221;Doesburg;PV25;Gelderland;11125
411;GM0222;Doetinchem;PV25;Gelderland;60049
412;GM0797;Heusden;PV30;Noord-Brabant;46365
419;GM0766;Dongen;PV30;Noord-Brabant;27495
425;GM0230;Elburg;PV25;Gelderland;23903
426;GM0274;Renkum;PV25;Gelderland;31490
427;GM0505;Dordrecht;PV28;Zuid-Holland;122796
428;GM0826;Oosterhout;PV30;Noord-Brabant;58380
438;GM0453;Velsen;PV27;Noord-Holland;70026
